default,student,balance,income
No,No,729.53,44361.63
No,Yes,817.18,12106.13
No,No,1073.55,31767.14
No,No,529.25,35704.49
No,No,785.66,38463.50
No,Yes,919.59,7491.56
No,No,825.51,24905.23
No,Yes,808.67,17600.45
No,No,1161.06,37468.53
No,No,0.00,29275.27
No,Yes,0.00,21871.07
No,Yes,1220.58,13268.56
No,No,237.05,28251.70
No,No,606.74,44994.56
No,No,1112.97,23810.17
No,No,286.23,45042.41
No,No,0.00,50265.31
No,Yes,527.54,17636.54
No,No,485.94,61566.11
No,No,1095.07,26464.63
No,No,228.95,50500.18
No,No,954.26,32457.51
No,No,1055.96,51317.88
No,No,641.98,30466.10
No,No,773.21,34353.31
No,No,855.01,25211.33
No,No,643.00,41473.51
No,No,1454.86,32189.09
No,No,615.70,39376.39
No,Yes,1119.57,16556.07
No,No,494.82,54384.78
No,Yes,448.88,15799.47
No,Yes,584.90,22429.94
No,No,913.59,46907.23
No,Yes,1423.94,22634.49
No,Yes,1499.72,13190.65
No,No,692.03,47806.61
No,No,351.45,35087.49
No,No,742.63,37864.82
No,No,653.12,39489.59
No,No,872.14,41787.57
No,No,837.26,51471.77
No,No,1151.63,42917.47
No,Yes,220.56,16872.95
No,Yes,1690.23,19052.57
No,No,408.77,54206.94
No,No,1238.61,50066.68
No,No,1228.31,37408.50
No,No,820.92,47746.54
No,No,857.49,31688.35
No,No,563.62,42641.25
No,Yes,1282.97,13120.64
No,Yes,1505.78,26557.14
No,Yes,904.04,16882.30
No,No,0.00,49956.58
No,Yes,1294.50,10464.32
No,Yes,1275.55,15887.47
No,No,1536.59,48766.91
No,No,1332.52,39143.14
No,No,492.08,33379.09
No,No,766.23,46478.29
No,No,690.13,63432.98
No,No,0.00,32481.54
No,No,1480.66,36866.16
No,No,989.06,45344.25
No,No,1302.34,33695.43
No,No,1044.55,54696.77
No,No,0.00,43658.23
No,No,866.03,38363.42
No,No,690.80,48140.47
No,No,597.76,31577.62
No,No,429.49,51311.22
No,No,1398.16,39644.94
No,Yes,1578.06,19886.49
No,No,857.07,26655.69
No,Yes,752.46,16211.28
No,Yes,774.74,15193.73
No,No,728.37,45131.72
No,No,76.99,28392.09
No,No,196.46,41346.79
No,Yes,948.75,14297.62
No,No,431.92,39369.88
No,No,461.64,46221.21
No,No,572.02,33046.31
No,No,335.57,51258.44
No,No,510.24,60397.72
No,Yes,1005.16,24038.65
No,Yes,162.45,13241.75
No,No,932.53,50537.47
No,Yes,893.33,11905.68
No,No,1332.78,44495.16
No,No,1404.38,35043.11
No,Yes,1148.97,16578.19
No,No,368.22,57596.83
No,No,449.47,45950.67
No,No,820.02,51584.66
No,Yes,619.75,15750.62
No,No,1047.72,46416.97
No,No,243.84,47193.89
No,No,186.50,45430.55
No,No,1422.02,38224.03
No,No,383.80,61425.29
No,No,1159.44,45802.10
No,No,882.99,17181.74
No,No,1463.23,65457.85
No,Yes,1722.36,19311.42
No,Yes,773.92,14558.91
No,No,958.17,32816.28
No,No,1207.53,68037.58
No,No,1056.61,30546.60
No,No,117.64,46550.27
No,No,596.96,58088.36
No,No,0.00,47729.63
No,Yes,541.66,16335.70
No,No,1119.18,45020.02
No,Yes,810.32,20498.67
No,No,271.55,32850.12
No,No,1114.40,47714.02
No,No,867.03,33540.98
No,Yes,1176.79,17632.71
No,No,610.23,42465.36
No,No,272.62,55449.34
No,No,449.74,49643.43
No,Yes,827.77,10673.53
No,No,430.00,33925.22
No,No,0.00,31825.76
No,Yes,1557.34,18404.59
No,No,928.24,33722.16
No,No,1373.45,49101.80
No,Yes,951.07,18601.53
No,Yes,1292.21,23065.85
No,No,582.19,24760.80
No,Yes,339.42,19307.98
No,No,409.98,44641.09
No,No,1216.45,53639.85
No,No,598.46,44124.27
Yes,Yes,1487.00,17854.40
No,No,943.80,59976.84
No,No,0.00,49525.75
No,Yes,996.28,20883.24
No,Yes,748.30,11248.67
No,No,324.74,15411.52
No,Yes,575.38,16005.68
No,No,441.74,36012.24
No,No,1188.64,39526.56
No,No,95.15,51371.20
No,No,1015.61,43218.79
No,No,1258.57,44931.67
No,Yes,1178.24,7750.29
No,No,731.53,43956.06
No,No,350.09,44455.20
No,No,418.85,36901.78
No,No,533.23,39393.54
No,No,95.30,32359.39
No,Yes,1453.01,15933.00
No,No,352.64,39404.74
No,Yes,736.24,14107.99
No,No,1306.48,41224.63
No,No,1149.15,45194.79
No,No,703.23,57679.28
No,Yes,1360.80,18864.31
No,No,31.45,53287.35
No,No,988.21,48570.36
No,No,360.02,23927.55
No,No,647.48,33226.28
No,Yes,0.00,9816.79
No,No,445.24,31974.62
No,Yes,878.54,17496.74
No,Yes,335.83,21759.87
No,No,666.61,30438.47
No,No,813.88,40737.46
No,No,836.30,54607.18
No,No,967.48,33055.11
Yes,Yes,2205.80,14271.49
No,Yes,1258.19,11672.22
No,No,1239.80,40107.17
No,Yes,0.00,13760.30
No,Yes,927.89,22473.38
No,Yes,1390.03,21299.10
No,No,410.50,53471.21
No,No,73.08,30681.74
No,No,790.60,45303.10
No,No,789.50,32579.90
No,No,791.36,46319.24
No,No,479.04,37255.88
No,No,888.61,28899.79
No,No,1284.39,42831.95
No,Yes,712.28,23341.95
No,Yes,1290.62,18408.05
No,No,126.36,44280.93
No,No,779.38,61158.89
No,No,697.49,49476.76
No,No,606.97,43610.03
No,Yes,1802.90,21411.42
No,No,900.09,41276.56
No,No,966.28,33440.98
No,No,671.06,35689.11
No,No,171.56,23505.99
No,No,1482.48,45260.61
No,No,640.66,46464.57
No,Yes,706.16,18078.35
Yes,Yes,1774.69,20359.51
No,No,916.50,25768.41
No,No,1271.27,36053.50
No,No,110.57,47339.11
No,No,1747.26,37819.29
Yes,No,1889.60,48956.17
No,No,27.20,21051.84
No,No,746.23,35159.85
Yes,Yes,1899.39,20655.20
No,Yes,813.99,20391.53
No,No,499.46,38899.16
No,No,853.16,36272.45
No,No,474.73,32064.34
No,No,1235.88,35838.78
No,No,620.68,44213.77
